method,run_dir,run_name,valid_generation_rate,invalid_generation_rate,best_generation,best_combined_score,last_generation,last_combined_score,selected_generation,selected_holdout_score,selected_holdout_correct,selected_holdout_size,selected_holdout_wall_time_sec,selected_holdout_vlm_call_count,final_test_score,final_test_correct,final_test_size,final_test_wall_time_sec,final_test_vlm_call_count,paper_ready_candidate,avg_generation_wall_time_sec,avg_generation_vlm_call_count
fixed,/gluon4/xl693/evolve/results/advanced_vqa_task_fixed_20260331_110628_repeat02,advanced_vqa_task_fixed_20260331_110628_repeat02,1.0,0.0,47,0.59375,49,0.56640625,41,0.530827067669173,353,665,141.243,665,0.5251461988304094,449,855,180.893,855,True,89.07979999999999,389.1
reasoning,/gluon4/xl693/evolve/results/advanced_vqa_task_reasoning_20260329_130634_repeat01,advanced_vqa_task_reasoning_20260329_130634_repeat01,1.0,0.0,47,0.58203125,49,0.56640625,18,0.5398496240601504,359,665,140.28,665,0.5157894736842106,441,855,187.636,855,True,92.17165999999999,389.1
order_vote,/gluon4/xl693/evolve/results/advanced_vqa_task_order_vote_20260331_145437_repeat02,advanced_vqa_task_order_vote_20260331_145437_repeat02,0.98,0.02,21,0.640625,49,0.62109375,21,0.6345864661654136,422,665,250.91,1330,0.5801169590643275,496,855,326.951,1710,True,154.7111224489796,729.3061224489796
order_rerank,/gluon4/xl693/evolve/results/advanced_vqa_task_order_rerank_20260331_190226_repeat02,advanced_vqa_task_order_rerank_20260331_190226_repeat02,0.9,0.1,6,0.6484375,49,0.0,26,0.5969924812030075,397,665,331.033,1784,0.5625730994152047,481,855,407.925,2222,True,72.57820000000001,335.8666666666667
order_vote_plus,/gluon4/xl693/evolve/results/advanced_vqa_task_order_vote_plus_20260329_185134_repeat01,advanced_vqa_task_order_vote_plus_20260329_185134_repeat01,0.92,0.08,21,0.6171875,49,0.0,16,0.5488721804511278,365,665,289.342,1573,0.5532163742690058,473,855,381.576,1989,False,135.9112608695652,652.0869565217391
